14624, -5808, 6816, -209, -73, 276
13328, -6664, 6552, -234, -56, 249
13440, -6192, 5304, -228, -64, 233
14824, -5400, 5504, -237, -25, 227
13832, -3440, 3240, -233, 21, 226
13144, -3296, 4296, -233, 16, 240
14976, -2664, 4408, -222, 20, 259
14904, -2248, 5992, -222, -10, 280
14744, -4344, 6608, -222, -7, 285
14824, -5336, 4144, -212, -17, 297
12736, -5728, 6352, -213, -42, 311
12184, -10168, 6744, -203, -49, 311
16136, -6048, 5264, -198, -62, 318
12736, -6208, 4472, -181, -92, 345
12008, -11520, 4120, -155, -155, 346
15848, -8120, 3512, -181, -92, 318
14096, -3624, 3288, -223, 19, 294
17664, 5320, 6680, -178, 126, 311
11680, 6440, 9448, -92, 210, 335
12576, 9640, 10200, -23, 243, 333
3632, 8336, 11680, 59, 244, 356
-1216, 9120, 14216, 174, 230, 376
-10552, -8, 10632, 271, 119, 404
-8312, -8544, 11704, 276, -50, 433
-6440, -16664, 10760, 241, -175, 423
2704, -13304, 9984, 102, -220, 432
5248, -12568, 10784, 29, -188, 443
5088, -9608, 11776, -3, -136, 473
7088, -7512, 13096, -18, -75, 463
8832, -3832, 13936, -56, 15, 460
8808, 1232, 12528, -29, 106, 445
7128, 8336, 13272, 8, 177, 412
3696, 7504, 14424, 53, 202, 400
2584, 8064, 13976, 109, 217, 391
-4064, 5944, 14368, 195, 213, 372
-10792, 3992, 13616, 266, 142, 380
-7656, -4248, 13664, 287, 62, 408
-8152, -6512, 11400, 298, -53, 428
-6064, -11432, 10128, 261, -170, 406
-2344, -12880, 11584, 227, -175, 428
-1112, -5712, 15568, 203, -29, 468
-3400, -688, 15384, 164, 72, 458
3832, 7296, 14384, 103, 173, 423
-744, 7720, 14744, 113, 224, 382
-376, 7144, 14128, 149, 233, 359
-9256, 6240, 13024, 222, 224, 360
-7856, 5232, 13240, 245, 197, 345
-10952, 1416, 13904, 282, 154, 362
-10408, 176, 12648, 307, 100, 369
-11584, -2056, 12712, 318, 30, 402
-8768, -5504, 12360, 297, -19, 425
-4920, -8496, 14128, 245, -54, 444
-5824, -6944, 13872, 248, -54, 439
-5568, -6744, 14184, 241, -45, 450
-4456, -6808, 14440, 239, -50, 455
-5184, -6528, 14336, 239, -43, 443
-4544, -6648, 14192, 239, -43, 455
-5256, -6488, 14048, 240, -44, 446
-5200, -6688, 14144, 244, -40, 445
-4016, -6560, 14368, 238, -59, 456
-5456, -7056, 14168, 233, -57, 466
328, -6760, 15416, 170, -20, 479
5288, -2168, 15888, 108, 96, 460
2696, 8800, 14528, 135, 213, 387
-6792, 8352, 13368, 211, 192, 386
-8584, -960, 12472, 245, 21, 444
424, -13048, 9744, 148, -165, 448
8384, -13432, 3920, -64, -231, 380
14392, -9512, -2952, -166, -253, 173
14616, -13832, -5416, -192, -211, 75
17704, -10952, -4304, -211, -215, 131
9912, -9184, 1424, -123, -272, 271
9544, -10456, 808, -97, -278, 316
13000, -13032, -3392, -154, -271, 216
11992, -13400, -4264, -145, -275, 157
9984, -15208, 864, -120, -285, 232
5352, -11936, 5728, -70, -240, 374
7168, -11120, 10096, -40, -174, 425
4808, -7800, 13256, 12, -114, 465
3264, -12264, 10416, 71, -160, 462
3824, -16360, 8392, 114, -210, 434
-4472, -11296, 11920, 219, -122, 450
-6504, -2048, 15176, 261, 12, 428
-3672, 2744, 14512, 211, 113, 432
3312, 5728, 16904, 125, 168, 418
1144, 4816, 15216, 101, 140, 433
6088, 3224, 13832, 53, 82, 468
5312, -6840, 13776, 72, -44, 480
3376, -9360, 9624, 55, -182, 458
5928, -14392, 7080, 59, -277, 387
-3696, -11808, 8168, 171, -235, 408
-1800, -5304, 13656, 216, -49, 449
-456, 752, 15888, 132, 75, 468
7056, -1024, 14168, 3, 87, 456
12848, -4184, 4744, -127, -39, 410
12208, -7120, 5376, -153, -142, 329
10888, -9928, 24, -174, -179, 267
12848, -9032, 232, -191, -210, 228
11648, -12144, 1064, -182, -257, 263
8664, -11560, 2544, -112, -301, 291
9312, -13864, -200, -75, -309, 282
8872, -14248, -1160, -83, -290, 276
9288, -13352, -656, -122, -266, 245
9392, -9424, -2576, -155, -267, 188
12208, -12464, -5264, -166, -248, 119
13376, -10224, -5488, -182, -252, 99
11064, -9368, -5000, -201, -271, 117
10088, -10576, -4528, -196, -268, 158
11432, -9776, -4808, -190, -259, 152
14288, -11752, -4728, -183, -255, 148
11456, -10000, -3176, -176, -240, 161
11608, -9992, -2264, -182, -247, 186
11936, -11528, -3808, -172, -252, 201
10312, -11440, -3440, -148, -269, 191
10144, -13360, -3832, -151, -273, 163
10096, -11896, -3680, -140, -280, 145
8720, -13280, -2392, -139, -276, 165
12864, -10136, -968, -141, -263, 228
14984, -12584, 1688, -96, -252, 324
6400, -14960, 7928, 25, -215, 427
-72, 1944, 16064, 130, -15, 486
-8720, 1944, 14024, 228, 49, 444
-10240, -9032, 6944, 314, -110, 398
-4472, -17848, 2488, 219, -295, 314
824, -22232, 4696, 69, -300, 375
5152, -6616, 12744, 24, -89, 481
1592, 2008, 15904, 82, 21, 488
-6848, -3792, 15200, 187, 28, 469
-7304, -624, 12992, 256, 0, 448
-8056, -13968, 9088, 266, -127, 421
-3704, -13904, 11248, 160, -132, 465
5568, -1712, 11056, 16, -19, 478
16696, 448, 10648, -66, 63, 433
5752, -8168, 18280, -18, 128, 422
4688, 1544, 13032, -2, 106, 428
2464, -13448, 9520, -72, -31, 434
1880, -7792, 12544, -65, -54, 441
12688, 488, 10392, -144, 47, 354
18792, 3440, 4256, -212, 86, 210
14480, 1392, -1096, -214, 84, 106
18208, 288, -3576, -206, 75, 30
14936, -1968, -6016, -207, 78, -14
26408, 3224, -7600, -207, 73, -159
5376, -1448, -16368, -86, 122, -319
4104, 2120, -14672, 81, 196, -261
384, 1824, -15216, 58, 250, -163
6640, 2400, -14416, -41, 247, -142
6320, 64, -12992, -117, 164, -141
9712, -2648, -9688, -186, 103, -59
11768, 2824, -5904, -219, 117, 38
17720, -720, 1096, -222, 137, 157
13440, -3784, -1744, -218, 154, 100
13208, -1176, -12440, -224, 86, -41
7272, -3448, -16872, -167, -48, -242
3432, -3944, -17360, 51, -91, -256
2048, -5936, -13040, 197, -61, -220
-10088, -7392, -14616, 261, -38, -188
-8712, -7088, -11768, 246, -61, -203
3144, -5224, -15272, 151, -62, -262
4368, -9360, -15936, -107, -21, -265
10512, -2424, -11608, -195, 30, -133
14264, -3216, -8216, -239, 22, 24
10840, -5968, -1448, -253, 1, 156
15424, -3296, -6400, -239, -10, 55
13808, -2568, -10768, -199, -15, -104
10552, 2744, -16512, -166, 16, -228
8192, 2328, -13088, -109, 263, -139
5640, 7744, -11296, -56, 313, -16
9016, 8768, -15808, -91, 239, -121
5720, -3104, -16864, -128, 86, -239
8824, -8848, -14112, -134, -67, -211
10512, -2424, -11608, -195, 30, -133
14264, -3216, -8216, -239, 22, 24
10840, -5968, -1448, -253, 1, 156
15424, -3296, -6400, -239, -10, 55
13808, -2568, -10768, -199, -15, -104
10552, 2744, -16512, -166, 16, -228
8192, 2328, -13088, -109, 263, -139
5640, 7744, -11296, -56, 313, -16
9016, 8768, -15808, -91, 239, -121
5720, -3104, -16864, -128, 86, -239
8824, -8848, -14112, -134, -67, -211
14264, -3216, -8216, -239, 22, 24
10840, -5968, -1448, -253, 1, 156
15424, -3296, -6400, -239, -10, 55
13808, -2568, -10768, -199, -15, -104
10552, 2744, -16512, -166, 16, -228
8192, 2328, -13088, -109, 263, -139
5640, 7744, -11296, -56, 313, -16
9016, 8768, -15808, -91, 239, -121
5720, -3104, -16864, -128, 86, -239
8824, -8848, -14112, -134, -67, -211
15424, -3296, -6400, -239, -10, 55
13808, -2568, -10768, -199, -15, -104
10552, 2744, -16512, -166, 16, -228
8192, 2328, -13088, -109, 263, -139
5640, 7744, -11296, -56, 313, -16
9016, 8768, -15808, -91, 239, -121
5720, -3104, -16864, -128, 86, -239
8824, -8848, -14112, -134, -67, -211
10552, 2744, -16512, -166, 16, -228
8192, 2328, -13088, -109, 263, -139
5640, 7744, -11296, -56, 313, -16
9016, 8768, -15808, -91, 239, -121
5720, -3104, -16864, -128, 86, -239
8824, -8848, -14112, -134, -67, -211
5640, 7744, -11296, -56, 313, -16
9016, 8768, -15808, -91, 239, -121
5720, -3104, -16864, -128, 86, -239
8824, -8848, -14112, -134, -67, -211
8616, -8232, -9944, -161, -161, -112
9016, 8768, -15808, -91, 239, -121
5720, -3104, -16864, -128, 86, -239
8824, -8848, -14112, -134, -67, -211
8616, -8232, -9944, -161, -161, -112
8824, -8848, -14112, -134, -67, -211
8616, -8232, -9944, -161, -161, -112
8616, -8232, -9944, -161, -161, -112
11016, -10032, -3312, -174, -166, -23
12744, -9456, -4480, -183, -169, -6
11016, -10032, -3312, -174, -166, -23
12744, -9456, -4480, -183, -169, -6
12744, -9456, -4480, -183, -169, -6
11824, -9400, -6088, -177, -132, -38
6400, -3080, -13600, -223, -31, -98
12264, -1376, -12728, -161, 87, -296
2032, 704, -17512, 0, 198, -285
6392, 1608, -16480, 11, 179, -308
12736, -1456, -12440, -223, 52, -194
16248, -4480, -8224, -248, 1, 8
13800, -7192, -552, -240, -49, 148
11992, -4736, -2232, -234, -68, 171
14840, -4112, -7296, -250, -44, 27
13544, -1072, -10824, -264, 61, -53
11248, -440, -13280, -278, 134, -104
15920, 744, -9728, -276, 96, 26
12352, -3320, -5296, -259, 20, 130
14472, -6840, -5160, -259, 10, 123
11528, -4608, -9840, -253, 14, -13
7872, -5752, -13744, -207, -38, -196
9104, -11416, -12312, -60, -197, -224
6032, -12008, -9280, -51, -234, -121
3952, -14352, -10120, -48, -230, -105
6984, -11872, -9232, -28, -235, -107
4504, -13752, -8000, -113, -203, -79
8040, -12376, -8920, -188, -171, 13
9688, -9272, -1512, -232, -124, 171
9480, -10576, 4808, -232, -106, 242
13368, -9184, -5592, -217, -157, 116
7040, -7112, -13184, -156, -159, -52
5456, -5800, -14968, 1, -156, -260
-1488, -3184, -16096, 72, -6, -333
4544, 216, -17600, -30, 82, -364
10600, -2208, -15088, -250, 3, -117
9272, -5520, -10208, -241, -33, 41
16344, -5560, 1264, -241, -17, 217
5584, -7744, 9920, -82, -21, 441
12408, -5608, 14688, -71, 15, 452
11176, -3376, 6320, -153, 50, 365
20144, -3960, 2048, -248, -16, 168
14976, -6456, -9024, -208, -87, 27
13288, -6960, -10392, -146, -113, -54
8128, -5936, -13288, -148, -106, -104
7344, -3608, -14544, -160, -78, -145
11240, -3480, -13112, -187, 12, -164
16544, -4672, -6016, -250, 57, 69
13944, -2256, 2536, -219, 10, 280
16088, -3888, 9632, -165, 38, 360
10392, 1272, 7888, -118, 104, 409
3824, 5464, 13240, 39, 185, 421
-5808, 8248, 11944, 229, 188, 397
-10256, -3288, 10168, 325, 20, 411
-2944, -10744, 14792, 176, -105, 480
14392, -6792, 11928, -81, -66, 457
13984, -3024, 9360, -159, 36, 388
11328, 3944, 10152, -107, 143, 364
11152, 6952, 12696, -46, 183, 358
1136, 4656, 14664, 104, 215, 403
-11080, 5432, 11584, 318, 173, 336
-18736, 1776, 5216, 411, 134, 239
-24432, -3968, 2792, 472, 105, 151
-13256, 3384, 4256, 423, 148, 207
-16208, 5696, 1752, 392, 185, 210
-7712, 944, 9784, 338, 112, 346
576, -6632, 15264, 176, 6, 488
9152, -4232, 14048, -9, 20, 477
11184, 10976, 12896, -41, 188, 380
5416, 13384, 14088, 45, 266, 328
1472, 13632, 9920, 124, 291, 301
6192, 15136, 14448, 140, 262, 329
-9256, 3872, 12368, 264, 178, 385
-9320, -4464, 12624, 334, 31, 376
-8072, -7784, 9736, 339, -80, 383
-9264, -13896, 8328, 274, -193, 404
6560, -12072, 7520, 38, -238, 425
13328, -10768, 6504, -154, -166, 345
14616, -10368, 9464, -196, -57, 320
13120, 4568, 9664, -128, 109, 360
6984, 3976, 12408, 22, 198, 394
7184, 12192, 12816, 80, 248, 347
-2176, 11664, 11168, 224, 234, 326
-9728, 6072, 9448, 349, 174, 267
-16632, -504, 7312, 420, 103, 187
-18216, 3688, -2776, 427, 91, 96
-17912, -2904, 1056, 439, 43, 145
-13424, -2544, 5016, 414, 0, 278
-8232, -15288, 8344, 343, -150, 346
-6936, -17600, 3272, 260, -299, 296
4440, -15544, 10944, 95, -235, 422
6016, -1984, 16392, 72, 21, 485
272, 5608, 13560, 155, 168, 416
-7104, 8752, 12016, 262, 199, 371
-15512, -1176, 7848, 388, 131, 262
-15680, -6968, 464, 454, -10, 220
-10344, -15176, 2840, 362, -231, 280
-3328, -10928, 10680, 232, -96, 455
-2080, -1592, 18856, 174, 105, 458
-2240, 3976, 17240, 139, 215, 398
1760, 13696, 15176, 180, 262, 331
-3488, 13048, 7872, 206, 212, 371
-7184, -8096, 12248, 262, 3, 466
-1112, -15368, 6432, 229, -247, 394
3368, -18176, 2448, 114, -347, 270
13024, -15800, -5328, -34, -348, 101
10696, -10272, -9752, -97, -304, 6
11968, -11344, -6216, -171, -281, 20
8456, -5336, -8584, -139, -304, 136
7656, -10936, -11008, -134, -324, -10
8016, -8728, -12480, -66, -280, -96
5840, -5432, -14840, -55, -235, -124
7680, -10400, -9568, -35, -197, -134
4472, -10448, -12304, 18, -212, -134
3776, -12808, -6976, -35, -271, -42
3976, -14392, -5360, -76, -275, 29
2608, -16536, -4216, -62, -281, 37
4808, -14168, -3440, -75, -268, 47
5616, -12232, -5232, -92, -238, 13
7512, -9600, -7488, -101, -191, -60
10904, -2896, -14656, -123, -56, -116
13944, 4192, -12608, -207, 73, -82
12704, 3864, -9144, -223, 146, 27
14360, 1656, -7648, -238, 52, 112
13536, -4112, -7504, -244, 20, 31
8960, -8728, -9616, -162, -150, -31
12168, -11144, -4968, -170, -213, 66
8864, -9392, -704, -195, -203, 208
18064, -7936, -736, -198, -189, 168
15664, -7400, -3808, -244, -71, 94
17704, -936, -3472, -248, 1, 148